Date,Stock,label,Predicted,prob_down,prob_up,Confidence,window_id,fit_start,fit_end,Return_1d
2025-01-02,HINDALCO,1,-1,0.54170096,0.458299,0.54170096,0,2020-02-12,2024-12-31,0.0102032658704478
2025-01-02,HINDUNILVR,-1,1,0.4503541,0.5496459,0.5496459,0,2020-02-12,2024-12-31,0.0206277444935589
2025-01-02,ICICIBANK,-1,-1,0.6894977,0.3105023,0.6894977,0,2020-02-12,2024-12-31,0.0054142046735727
2025-01-02,INDUSINDBK,-1,1,0.42697358,0.5730264,0.5730264,0,2020-02-12,2024-12-31,0.0226428209398306
2025-01-02,INFY,-1,-1,0.5101882,0.4898118,0.5101882,0,2020-02-12,2024-12-31,0.0400265853572232
2025-01-02,ITC,-1,1,0.48848134,0.51151866,0.51151866,0,2020-02-12,2024-12-31,0.0105383563986587
2025-01-02,JSWSTEEL,-1,1,0.46997535,0.53002465,0.53002465,0,2020-02-12,2024-12-31,0.00778618419185
2025-01-02,KOTAKBANK,-1,-1,0.6126702,0.38732982,0.6126702,0,2020-02-12,2024-12-31,0.0272590834853796
2025-01-02,LT,-1,-1,0.5808699,0.41913006,0.5808699,0,2020-02-12,2024-12-31,0.0125425817083704
2025-01-02,M&M,-1,1,0.44171208,0.5582879,0.5582879,0,2020-02-12,2024-12-31,0.0418884573097146
2025-01-02,MARUTI,1,1,0.3970409,0.6029591,0.6029591,0,2020-02-12,2024-12-31,0.0564759618424777
2025-01-02,NESTLEIND,-1,1,0.47864735,0.52135265,0.52135265,0,2020-02-12,2024-12-31,0.0142675445638484
2025-01-02,NTPC,-1,-1,0.51997447,0.48002556,0.51997447,0,2020-02-12,2024-12-31,0.0130374411915361
