Date,Stock,finbert_pos,finbert_neg,finbert_neu
2020-01-01,M&M,0.8542992472648621,0.1082722395658493,0.03742850944399834
2020-01-01,NTPC,0.6787693500518799,0.008105823770165443,0.3131248652935028
2020-01-01,ONGC,0.9342204928398132,0.020571643486618996,0.04520784318447113
2020-01-02,BPCL,0.02434457466006279,0.04571394622325897,0.9299414753913879
2020-01-02,EICHERMOT,0.6934857964515686,0.1497984081506729,0.15671579539775848
2020-01-02,KOTAKBANK,0.10553069412708282,0.017467623576521873,0.8770017027854919
2020-01-02,ONGC,0.08438631147146225,0.11374436318874359,0.80186927318573
2020-01-03,BPCL,0.08914875984191895,0.03993745148181915,0.8709137439727783
2020-01-03,COALINDIA,0.010194199159741402,0.9712314009666443,0.018574461340904236
2020-01-03,DRREDDY,0.11126069724559784,0.013012819923460484,0.8757265210151672
2020-01-03,HINDALCO,0.6723632216453552,0.02033332549035549,0.30730342864990234
2020-01-03,ONGC,0.9158204793930054,0.02186105027794838,0.06231840327382088
2020-01-04,ONGC,0.4348019063472748,0.04943928122520447,0.5157588124275208
2020-01-06,BAJAJFINSV,0.18630607426166534,0.010231342166662216,0.803462564945221
2020-01-06,BPCL,0.14824770390987396,0.011820838786661625,0.8399314880371094
2020-01-06,JSWSTEEL,0.10477836430072784,0.6588984727859497,0.23632308840751648
2020-01-06,ONGC,0.2610627692192793,0.10548198968172073,0.6334552764892578
2020-01-06,TITAN,0.03370572626590729,0.03347467631101608,0.9328196048736572
2020-01-07,BAJFINANCE,0.0763990730047226,0.010324828326702118,0.9132760763168335
2020-01-07,HCLTECH,0.9495013356208801,0.021413438022136688,0.02908528596162796
2020-01-07,INDUSINDBK,0.06531637907028198,0.04191097244620323,0.8927726745605469
2020-01-07,NTPC,0.843434751033783,0.01706123910844326,0.13950398564338684
2020-01-07,TECHM,0.4762668958865106,0.4875926338136196,0.03614040371030569
2020-01-08,KOTAKBANK,0.015396414324641228,0.9275667667388916,0.05703684687614441
2020-01-09,INDUSINDBK,0.8702853322029114,0.030527804046869278,0.09918687492609024
2020-01-10,BAJAJFINSV,0.0625336617231369,0.01480032131075859,0.9226660132408142
2020-01-12,NTPC,0.03691931441426277,0.7871867418289185,0.17589400708675385
2020-01-13,INDUSINDBK,0.95255446434021,0.024511028081178665,0.022934505715966225
2020-01-13,JSWSTEEL,0.010289417579770088,0.9741180539131165,0.015592510811984539
2020-01-13,KOTAKBANK,0.6524649858474731,0.012990550138056278,0.33454445004463196
2020-01-13,NTPC,0.4049316644668579,0.020659441128373146,0.5744088888168335
2020-01-14,INDUSINDBK,0.4847986053209752,0.4566781707108021,0.05852323491126299
2020-01-15,ASIANPAINT,0.1898551732301712,0.012329906225204468,0.7978149056434631
2020-01-15,BAJAJFINSV,0.020490532740950584,0.10668439418077469,0.872825026512146
2020-01-15,BAJFINANCE,0.9092351198196411,0.010542589239776134,0.08022229373455048
2020-01-15,BPCL,0.02283550053834915,0.9650219678878784,0.012142536230385303
2020-01-15,INDUSINDBK,0.339936887845397,0.3350022242714961,0.3250608993694186
2020-01-15,KOTAKBANK,0.02665725164115429,0.03328591212630272,0.9400568008422852
2020-01-15,SUNPHARMA,0.9165945053100586,0.012192574329674244,0.07121289521455765
2020-01-16,BPCL,0.03868601471185684,0.018917616456747055,0.942396342754364
2020-01-16,INDUSINDBK,0.08368607455243667,0.3312284288307031,0.5850855335593224
2020-01-16,JSWSTEEL,0.041890062391757965,0.08070725202560425,0.877402663230896
2020-01-17,BPCL,0.6667315363883972,0.00969134271144867,0.3235771358013153
2020-01-17,HCLTECH,0.9492286245028178,0.02221731034417947,0.028554055839776993
2020-01-17,ONGC,0.926539421081543,0.014641530811786652,0.05881902575492859
2020-01-18,INDUSINDBK,0.024750199168920517,0.31718936562538147,0.6580604314804077
2020-01-19,COALINDIA,0.12943030893802643,0.013336203061044216,0.8572335243225098
